========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Thomson                                 0053
Thorens                                 0157
Thule Audio                             0157
Universum                               0157, 0053
Victor                                  0072
Wards                                   0000, 0032, 0157, 0053
Yamaha                                  0032, 0036
Zonda                                   0157


###### Setup Codes For Audio - Accessory (M) ######

Altec Lansing                           2251
Denon                                   2502
Philips                                 2327
Polk Audio                              2228
Samsung                                 2609
Vizio                                   2454
Yamaha                                  2021, 2116, 2458


--- Docking System (M) ---

Altec Lansing                           2251
Philips                                 2327
Polk Audio                              2228


###### Setup Codes For Video - Accessory (N) ######

A.C.Ryan                                2535, 2709
ABS                                     1272
Access HD                               2185
Acer                                    1272
Airlink 101                             2491
Alienware                               1272
Alpha Digital                           2185
AMTC                                    2185
Apex Digital                            2478
Apple                                   2615
Argosy                                  2270
Artec                                   2490
ATMT                                    2270
Axonix                                  1447
Channel Master                          2365
chiliGREEN                              2535
Claritas                                1272
Coby                                    2667
Coship                                  2487
CyberPower                              1272
Daewoo                                  2338
Daily Media                             1272
Digital Stream                          2303
Digitech                                2260
Dish Network                            2470
DVICO                                   2153
Echostar                                2470
Elonex                                  1272
Emtec                                   2535, 2709
Epson                                   1563
EverTech                                2535
Fantec                                  2535, 2709
Fujitsu Siemens                         1272
Galaxy                                  2238
Gateway                                 1272
GE                                      2360, 2450
Goodmind                                2450
Hewlett Packard                         1272
Howard Computers                        1272
HP                                      1272
Hush                                    1272
iBUYPOWER                               1272
INOi                                    2270
Insignia                                1415
Iomega                                  2238, 2270
LaCie                                   2238
LG                                      1415
Linksys                                 1272
Macpower                                2238
Magnavox                                1563
me2                                     2270, 2535
Mede8er                                 2709
Media Center PC                         1272
Memorex                                 2486
Memup                                   2270
Microsoft                               2049, 1272
Mind                                    1272
Niveus Media                            1272
Northgate                               1272
Olidata                                 2270
Packard Bell                            1272, 2238
Philco                                  1563
Philips                                 1272
Pinnacle Systems                        1447
Popcorn Hour                            2260
RaidSonic                               2238
RCA                                     2325, 2454
Ricavision                              1272
Roku                                    2371
Samsung                                 1967
Sling Media                             2612
Sony                                    1272
Stack 9                                 1272
Sylvania                                1563
Systemax                                1272
Tagar Systems                           1272
Tivax                                   2185
Toshiba                                 1272
Touch                                   1272
Trust                                   1272
TViX                                    2153
Ventura                                 2454
Venturer                                2454
VIA Technologies                        1272
Viewsonic                               1272
Voodoo                                  1272
