========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

SilverCrest                             2026, 2308
Skantin                                 0713
SKR                                     0713
SKY                                     0856, 1856, 0099, 0847, 0887, 1175, 1358, 1499, 
                                        1662, 1693, 1848, 2619
SKY Brazil                              0856, 0887, 1358, 1499
SKY Italia                              0853, 1693, 1848
SKY Mexico                              0856, 2619
SKY New Zealand                         2211
SKY PerfecTV!                           2299, 2616
Sky+                                    1175, 1662
Skymaster                               0713, 1334, 1409, 1545, 1611, 2205, 2241
Skymax                                  0200
Skypex                                  0740
Skyplus                                 0740, 1175, 1334, 2026
SkySat                                  0114, 0713, 1100
Skyvision                               1334
SL                                      0740, 1672, 2026
SM Electronic                           0713, 1409
Smart                                   0396, 0713, 1631
Sony                                    0639, 1639, 0847, 0853, 1558, 2299
Star                                    0887
Star Choice                             0869
Starland                                0713
Starlite                                0200
Stream                                  1848
Stream System                           1300
Strong                                  0713, 0853, 0879, 1284, 1300, 1409, 1626, 1801, 
                                        2235, 2418
Sun Direct                              2525
Sunny                                   1300
Sunsat                                  0713
Sunstech                                1993, 2139
Supernova                               0887
SupportPlus                             2167
Supratech                               1993, 2139
Systec                                  1334
Sytech                                  2139
Tahnon                                  1704
TATA Sky                                1997
TBoston                                 1659, 2139, 2418
Teac                                    1322, 1957, 2139
Technical                               1626
Technika                                1284, 1672, 2034
TechniSat                               0114, 0396, 1099, 1100, 1195, 1197, 1322
Technosat                               1206
Technosonic                             1672
Technotrend                             1429, 1672
Techwood                                0114, 1284, 1626, 1935, 2034
TELE System                             0396, 1409, 1611, 1801
TeleClub                                1367
Telefonica                              2262, 2263, 2272, 2527
Teleka                                  0396
Telestar                                0114, 1099, 1100, 1195, 1197, 1334, 1626, 1672
Teletech                                0114
Televes                                 1300, 1334
Televisa                                0887
Tevion                                  0713, 1409, 1672, 1993, 2205
Thomson                                 0392, 0713, 0847, 0853, 1046, 1175, 1291, 1662, 
                                        1848, 1935, 1997, 2107, 2176
Tiny                                    1672
Titan                                   2205
Tividi                                  1429, 1736
Tivo                                    1142, 1442
TNT SAT                                 1692, 2564
Tokai                                   0200
Tonna                                   0713, 1611
Topfield                                1206, 1545, 1783, 1824, 1986
Toshiba                                 0749, 1749, 0790, 1284
Transparent Video Systems               1780, 1957
Triax                                   0114, 0200, 0396, 0713, 0853, 1291, 1611, 1626, 
                                        1631, 2026
Tricolor TV                             1176, 2622
TT-micro                                1429
Turnsat                                 0713
TWF                                     1993
Twinner                                 0713, 1611
UEC                                     0879, 1358, 2463
Unisat                                  0200
Unitymedia                              1429
Universum                               0114, 0173, 0740, 1099
Unixbox                                 1652
Vantage                                 2297
Vaova                                   1993
Variosat                                0173
VEA                                     2418
Ventana                                 0200
Vestel                                  0114, 1284, 2034
Viasat                                  1195, 1197, 1682, 2235
Viola Digital                           1672
Vision                                  1626
Visiosat                                0114, 0713
Viva                                    0856
Vivax                                   2418
Volcasat                                2418
Voom                                    0869
Wharfedale                              0200, 1284, 1935, 2034
Winbox                                  1801
Wisi                                    0173, 0396, 0740
Worldsat                                0114
Woxter                                  2139, 2418
Xsat                                    0713, 0847, 1323
Xtreme                                  1300
Yamada                                  1993, 2139
Yes                                     0887
Yukai                                   1659
ZapMaster                               0740
Zehnder                                 0114, 1334, 1631, 1777
Zenith                                  0856, 1856
Zeta Technology                         0200
Ziggo                                   1499, 1657, 2443
Zodiac                                  0396, 1801


--- Cable/PVR Combination (S) ---

Com Hem                                 1176, 2357
Handan                                  1957
Humax                                   1176
Kathrein                                1561, 2569
Numericable                             2466
Philips                                 2466
Siemens                                 1657
TechniSat                               1195, 1197
Topfield                                1545, 1783
Vantage                                 2297
Ziggo                                   1657, 2443


--- DVD/PVR Combination (S) ---

SL                                      0740


--- DTA Converter (S) ---

Dish Network                            0775


--- IPTV (S) ---

Indovision                              0856
Philips                                 2176
Premiere                                2176
Thomson                                 2176


--- IPTV/PVR Combination (S) ---

Canal+                                  2657
Pace                                    2657


--- Media Center Controller (S) ---

TechniSat                               1100
Technotrend                             1672


--- SAT/PVR Combination (S) ---

@sat                                    1300
Amstrad                                 1175, 1662, 1693
Atsat                                   1300
B@ytronic                               0740
Bell ExpressVu                          0775
Boca                                    2308
Boxer                                   1957
British Sky Broadcasting                1175, 1662
BskyB                                   1175, 1662
Bush                                    1645
Canal Digitaal                          2466
Canal Digital                           2553
Canal Satellite                         2657
Canal+                                  2657
CanalSat                                2657
Comag                                   2308
Cyfra+                                  2593
Cyfrowy Polsat                          2527
Digifusion                              1645, 1929
Digihome                                2034
DigiQuest                               1300
Digital                                 2308
Digiturk                                1076, 2097
Dilog                                   1957
DirecTV                                 1377, 0392, 0639, 1142, 1076, 0099, 1442
Dish Network                            0775
Dishpro                                 0775
Dream Multimedia                        1237, 1923
Echostar                                0775, 2527
Edision                                 1631
Eurosky                                 0740
Expressvu                               0775
Freesat+                                2443
Golden Interstar                        1572
Goodmans                                2034
Handan                                  1957
Hirschmann                              0740
Hughes Network Systems                  1142, 1442
Humax                                   1176, 1427, 1675, 1808, 2357, 2443
Hyundai                                 2463
ID Sat                                  1334
Kaon                                    1300
Kathrein                                0658, 1561, 2569
LaSAT                                   0740
Luxor                                   1935
Maximum                                 1334
Mediacom                                1206
MediaSat                                2107
Medion                                  0740
Meo                                     2466
Motorola                                0869
Movistar                                2527
Multichoice                             2059, 2060
MySky                                   1693, 1848
NEOTION                                 1334
Nokia                                   1023
Nova                                    1959
Omni                                    1993
Pace                                    1175, 1662, 1682, 1693, 2059, 2060, 2097, 2211, 
                                        2466, 2593, 2657
Panasonic                               1304
Philips                                 1142, 0099, 1442, 2107, 2466, 2593
Portugal Telecom                        2466
Proscan                                 0392
Sagem                                   1692, 2553
Samsung                                 1206, 1442, 1609, 1662, 1682
Sansui                                  1545
Sat Control                             1300
Schneider                               1206
Schwaiger                               0740, 2308
Sedea Electronique                      1206
Sharp                                   2034
Siemens                                 1657
SilverCrest                             2308
SKY                                     1175, 1358, 1662, 1693, 1848
SKY Brazil                              1358
SKY Italia                              1693, 1848
SKY New Zealand                         2211
SKY PerfecTV!                           2299
Sky+                                    1662
Skymaster                               1545
Skypex                                  0740
Skyplus                                 0740, 1175, 1334
Sony                                    0639, 2299
Star Choice                             0869
Stream System                           1300
Strong                                  1300
Sunny                                   1300
Teac                                    1957
TechniSat                               1195, 1197
Technosat                               1206
Telefonica                              2272, 2527
Telestar                                1195, 1197
Thomson                                 1175, 1662, 1935
Tivo                                    1142, 1442
TNT SAT                                 1692
Topfield                                1206, 1545, 1783, 1824
UEC                                     1358
Vantage                                 2297
Viasat                                  1195, 1197, 1682
Wisi                                    0740
Xtreme                                  1300
Yamada                                  1993
Zehnder                                 1777


###### Setup Codes For Television (T) ######

A.R. Systems                            0037, 0556
Accent                                  0009, 0037
Acer                                    1339
Acoustic Solutions                      1523, 1037, 1667, 1865
Action                                  0650
Acura                                   0009
Addison                                 0108, 0653
ADL                                     1217
Admiral                                 0093
AEG                                     1037, 1163, 1324, 1556
Aiko                                    0009, 0035, 0037, 0371
Aim                                     0706, 0037
Akai                                    0812, 1675, 0178, 0009, 0035, 0037, 0208, 0371, 
                                        0480, 0556, 0606, 0714, 1308, 1413, 1865
Akashi                                  0009, 0860
Akiba                                   0037
Akito                                   0037
Akura                                   0171, 0009, 0037, 0668, 0714, 1037, 1363, 1556, 
                                        1585, 1667, 1770, 1983
Alba                                    0009, 0037, 0371, 0443, 0480, 0587, 0668, 0714, 
                                        1037, 1865, 2104
Alien                                   1037
Allstar                                 0037
Amitech                                 1849
Amstrad                                 0171, 0009, 0037, 0371, 1037
Anam                                    0250, 0009, 0037
Anam National                           0250, 0037, 0650
Andersson                               1163, 1585
Anglo                                   0009
Anitech                                 0009, 0037
Ansonic                                 0009, 0037, 0668
AOC                                     0093, 0178, 0009, 0108, 0625, 1365, 1589, 2087, 
                                        2111, 2214
Apex Digital                            1217, 2397
Ardem                                   0037, 0714
Arena                                   0037
Aristona                                0037, 0556
ART                                     1037
Art Mito                                1585
Asberg                                  0037
Asora                                   0009
Astra                                   0037
ATD                                     0698
Atec                                    1606
Atlantic                                0037
Atori                                   0009
Audiosonic                              1675, 0009, 0037, 0714, 0820, 1308, 1983, 2104
Audioworld                              0698
Aventura                                0171
Awa                                     0009, 0108, 0606, 0888
Axxent                                  0009
Axxon                                   0714
Baihe                                   0009
Baile                                   0009, 0661
Baird                                   0208, 0343
Bang & Olufsen                          0565
Baosheng                                0009
Barco                                   0556
Basic Line                              0009, 0037, 0556, 0668, 1037, 1163
Baur                                    0037, 0195, 0512
BBK                                     1523, 1741
Beaumark                                0178
Beijing                                 0812, 0009, 0208, 0226, 0661
Beko                                    0037, 0606, 0714, 1652
Belson                                  0698, 2032
Belstar                                 1037
BenQ                                    1562, 1756
Beon                                    0037
Berthen                                 0668
Bestar                                  0037
Black Diamond                           0587, 0820, 1037, 1163
Blaupunkt                               0195
Blue Media                              1606
Blue Sky                                0037, 0556, 0625, 0668, 0714, 1037, 1363, 1652, 
                                        2153
BlueH                                   1745
Boca                                    1652
Boman                                   1324
Boots                                   0009
Bork                                    1363
BPL                                     0037, 0208, 0896
Brandt                                  0335, 0560, 0625, 0714
Brinkmann                               0037, 0668
Brionvega                               0037
Bush                                    2214, 2104, 1983, 1667, 1652, 1645, 1556, 1308, 
                                        1037, 0714, 0698, 0668, 0661, 0587, 0556, 0443, 
                                        0371, 0208, 0037, 0009
Byd:sign                                2140, 2209
C-Tech                                  0896
Caihong                                 0009
Cameron                                 1523
Camper                                  0037
Carad                                   0668, 1037
Carena                                  0037
Carrefour                               0037
Cascade                                 0009, 0037
Casio                                   0037
Cathay                                  0037
CCE                                     0037
Celebrity                               0000
Celestial                               0820
cello                                   1770
Centrum                                 1037
Centurion                               0037
Changcheng                              0009, 0661
Changfei                                0009
Changhai                                0009
Changhong                               0156, 0009, 0508, 0820
Chengdu                                 0009
Chimei                                  1852
Ching Tai                               0009
Chun Yun                                0000, 0706, 0009, 1756
Chunfeng                                0009
Chung Hsin                              0053, 0108
Chunsun                                 0009
Cimline                                 0009
Cinex                                   1556
City                                    0009
Clarivox                                0037
Clatronic                               0009, 0037, 0371, 0714, 1324
Clayton                                 1037
Coby                                    2348, 2350
Commercial Solutions                    1447
Concorde                                0009
Condor                                  0009, 0037
Conia                                   1523, 0820, 2032
Conrowa                                 0156, 0009, 0698
Contec                                  0009, 0037
Cosmel                                  0009, 0037
CPTEC                                   0625, 1363
Crosley                                 0000
Crown                                   0053, 0009, 0037, 0208, 0606, 0668, 0714, 1037, 
                                        1652
CTX                                     1756
Curtis                                  2352
Curtis Mathes                           0093
Cyberpix                                1667
Cytronix                                1298
D-Vision                                0037, 0556
Daewoo                                  0178, 0009, 0037, 0108, 0556, 0634, 0661, 0860, 
                                        1606, 1849, 2098
Dansai                                  0009, 0035, 0037, 0208
Dantax                                  0714, 1037, 1163, 1652
Datsura                                 0208
Dawa                                    0009, 0037
Dayton                                  0009
Daytron                                 0009, 0037
Dayu                                    0661
De Graaf                                0208
DEC                                     0860
Decca                                   0037
Denver                                  0037, 0587, 1770
Desmet                                  0009, 0037
Diamant                                 0037
Diamond                                 0706, 0009, 0371, 0698, 0820, 0860, 0896
Dick Smith Electronics                  0698, 1556
Digatron                                0037
Digihome                                1667
Digiline                                0037, 0668
Digital Device                          1606
Digitex                                 0820
Digitor                                 0037, 0698, 0888
Disney                                  1665
Dixi                                    0009, 0037
DL                                      0587, 1363
DMTech                                  2001
Domeos                                  0668
Dongda                                  0009
Donghai                                 0009
Dream Vision                            1704
Drean                                   0037
DSE                                     0698, 0820, 0888, 1556
DTS                                     0009
Dual                                    0037, 0343, 1037, 1163, 2032
Durabrand                               0178, 0171, 1037, 1652, 1665
Dux                                     0037
DX Antenna                              1817
Dynatron                                0037
Dynex                                   1780, 1785, 2049, 2184
E:max                                   1324
Easy Living                             1217, 1308, 1666, 1783, 2104
Ecco                                    0773
ECE                                     0037
Elbe                                    0037, 0556
Electroband                             0000
Electrograph                            1755
Electrohome                             1670
Elekta                                  0009
Element                                 1886, 2183
Elfunk                                  1037
ELG                                     0037
Elin                                    0009, 0037
Elite                                   0037
Elta                                    0009
Emerson                                 1864, 0178, 0171, 0037, 0371, 0668, 0714, 1394, 
                                        1665
Envision                                1365, 1506, 1589, 2087
Enzer                                   0860
Erres                                   0037
ESA                                     0812, 0171
ESC                                     0037
Ether                                   0009
Etron                                   0009, 0820
Euroman                                 0037
Europa                                  0037
Europhon                                0037
Evesham                                 1248, 1606, 1667
Evolution                               1756
Excello                                 1037
Exquisit                                0037
Feilang                                 0009
Feilu                                   0009
Feiyue                                  0009
Fenner                                  0009
Ferguson                                0053, 0037, 0195, 0335, 0343, 0443, 0560, 0625, 
                                        1037, 1585
Fidelity                                0171, 0037, 0371, 0512
Finlandia                               0208
Finlux                                  0037, 0480, 0556, 0714, 1248, 1556, 1667
Firstar                                 0009
Firstline                               0009, 0037, 0208, 0556, 0668, 0714, 1037, 1308, 
                                        1363
Fisher                                  0208
Flint                                   0037
Formenti                                0037
Fortress                                0093
Fraba                                   0037
Friac                                   0009, 0037
Frontech                                0009
Fujitsu                                 0009
Fujitsu General                         0009
Fujitsu Siemens                         1163, 1248, 1298, 1666
Funai                                   0000, 0171, 0668, 0714, 1037, 1394, 1666, 1817, 
                                        2173
Furichi                                 0860
Futronic                                0860
G-Hanz                                  1363
Gaba                                    1037
Galaxi                                  0037
Galaxis                                 0037
Gateway                                 1755, 1756
GBC                                     0009
GE                                      1454, 1447, 0093, 0178, 0335, 0560, 0625
GEC                                     0037
Geloso                                  0009
General Technic                         0009
Genesis                                 0009, 0037
Genexxa                                 0009, 0037
Gericom                                 1217, 1298, 1606
GFM                                     1864, 0171, 1665
Giant                                   0009
Gold                                    1770
Gold Vision                             0661
Goldfunk                                0668
GoldStar                                0178, 0037, 0606, 0714
Goodmans                                1983, 1720, 1667, 1645, 1308, 1163, 1037, 0714, 
                                        0668, 0661, 0634, 0625, 0560, 0556, 0480, 0371, 
                                        0343, 0335, 0037, 0035, 0009
Gorenje                                 1585, 1667
Gradiente                               0053, 0037
Graetz                                  0371, 0714, 1163
Granada                                 0037, 0108, 0208, 0226, 0343, 0560
Grandin                                 0009, 0037, 0556, 0668, 0714, 1037, 1298
Grundig                                 0706, 0009, 0037, 0195, 0443, 0556, 0587, 1223, 
                                        1308, 1667, 2007
Grunkel                                 1163
GVA                                     1363
H & B                                   2001
Haaz                                    0706
Haier                                   0037, 0508, 0587, 0698, 0896, 1748, 1983
Haihong                                 0009
Hallmark                                0178
Hankook                                 0178
Hanns.G                                 1783
Hannspree                               1348, 1745, 1783
Hanseatic                               0009, 0037, 0556, 0625, 0634, 0661, 0714, 2001
Hantarex                                0009, 0037
Hantor                                  0037
Harwa                                   0773
Harwood                                 0009, 0037
Hauppauge                               0037
Havermy                                 0093
HB                                      1324
HCM                                     0009, 0037
Hema                                    0009
Heran                                   1852
Hewlett Packard                         1494
Highline                                0037
Hikona                                  1983
Hinari                                  0009, 0037, 0208, 0443
Hisawa                                  0714
Hisense                                 0156, 0009, 0208, 0508, 0556, 0860, 1363, 2098, 
                                        2183, 2341
Hitachi                                 1643, 0156, 0178, 2433, 2215, 2214, 2207, 1691, 
                                        1667, 1585, 1576, 1163, 1037, 0744, 0679, 0634, 
                                        0578, 0508, 0480, 0343, 0108, 0037, 0009
Hitachi Fujian                          0108, 0860
Hitec                                   0698
Hitsu                                   0009
Hoeher                                  0714, 1163, 1556
Home Electronics                        0606
Hongmei                                 0093, 0009
Hornyphon                               0037
HP                                      1494
Hua Tun                                 0009
Huafa                                   0009
Huanghaimei                             0009
Huanghe                                 0009
Huanglong                               0009
Huangshan                               0009
Hugoson                                 1217, 1666
Humax                                   1539
Hyper                                   0009
Hypson                                  0037, 0556, 0668, 0714, 1037
Hyundai                                 1523, 0706, 0698, 0860, 0888, 1037, 1556, 1606, 
                                        1770, 2460
Iberia                                  0037
ICE                                     0037, 0371
iDEAL                                   1556
Iiyama                                  1217
iLo                                     1394, 1665
Imperial                                0037
Imperial Crown                          0009, 0661
Indiana                                 0037
Ingelen                                 0714
Ingersol                                0009
Inno Hit                                0009, 1037, 1163, 1585
Innova                                  0037
Innowert                                1298
Inotech                                 0773, 0820
Insignia                                1423, 1564, 0171, 1780, 1785, 2049
Inspira                                 1556
Interbuy                                0009, 0037
Interfunk                               0037, 0512
Internal                                0556
Intervision                             0009, 0037
Irradio                                 0009, 0037, 0371
IRT                                     0698
Isukai                                  0037
ITS                                     0037, 0371
ITT                                     1523, 0208, 0480
ITT Nokia                               0208, 0480, 0606
ITV                                     0037
JCB                                     0000
JCM                                     2256
Jean                                    0156, 0009
JEC                                     0035
JiaLiCai                                0009
Jinfeng                                 0208, 0226
Jinque                                  0009
Jinta                                   0009
Jinxing                                 0156, 0009, 0037, 0556, 0698
JMB                                     0443, 0556, 0634
JNC                                     0896
JTV                                     0860
Jubilee                                 0556
JVC                                     0093, 0053, 0371, 0508, 0606, 0650, 0653, 1172, 
                                        1428, 1601, 1774, 2271
Kaige                                   0009
Kaisui                                  0009, 0037
Kanghua                                 0896
Kangli                                  0009, 0661
Kangyi                                  0009
Karcher                                 0606, 0714, 1308, 1324, 1556
Kathrein                                0556
Kawa                                    0371
Ken Brown                               1321
Kendo                                   0037, 1037, 1585
Kennex                                  1037
Khind                                   0706, 0661, 0896
Kiota                                   0371
Kioto                                   0706, 0556
Kiton                                   0037, 0668
KLL                                     0037
Kneissel                                0037, 0556
Koenig                                  0037
Kolin                                   1610, 1755, 0053, 0037, 0108, 1217, 1240, 1331
Kolster                                 0037
Kongque                                 0009
Konichi                                 0009
Konka                                   0009, 0037, 0371, 0587, 0714
Korpel                                  0037
Kosmos                                  0037
Koyoda                                  0009
Kuaile                                  0009
Kulun                                   0009
Kunlun                                  0208, 0226, 0661
L&S Electronic                          0714
Lavic                                   1363
Lavis                                   1037
Leader                                  0009
Lecson                                  0037
Legend                                  0009
Lenco                                   0037, 0587, 1037, 1983
Lenoir                                  0009
Leyco                                   0037
LG                                      1423, 1447, 0178, 0009, 0037, 0108, 0556, 0698, 
                                        0714, 1305, 1663, 2182, 2358, 2362, 2424
Liesenkoetter                           0037
Lifetec                                 0009, 0037, 0668, 0714, 1037, 2001
Lloyd's                                 0009
Local Chennai TV                        0009
Local India TV                          0009, 0208, 0371, 1413
Local Malaysia TV                       0698
Lodos                                   1037
Loewe                                   0037, 0512, 0633, 1884
Logik                                   0009, 0371, 0698, 0773, 1037, 1217, 1865
Logix                                   0668
Luma                                    0009, 1037
Lumatron                                0037
Lux May                                 0009, 0037
Luxor                                   0208, 0480, 1037, 1163
LXI                                     0156, 0178
M Electronic                            0009, 0037, 0195, 0343, 0480, 0512, 0634, 0661, 
                                        0714, 1652
Madison                                 0037
Magnavox                                1454, 1866, 1755, 0171, 0706, 0035, 1365, 1506, 
                                        1867, 2372
Magnum                                  0037, 0714, 1556
Manesth                                 0035, 0037
Manhattan                               0037, 0668, 1037
Maqma                                   1606
Marantz                                 1454, 0037, 0556
Mark                                    0009, 0037, 0714
Marks and Spencer                       1770
Mascom                                  1556
Mastro                                  0053, 0706, 0698, 1556
Masuda                                  0009, 0037, 0371
Matsui                                  0009, 0035, 0037, 0195, 0208, 0335, 0371, 0443, 
                                        0556, 0714, 0744, 1037, 1666, 1667, 2007
Matsushita                              0250, 0650
Matsuviama                              0587
Maxdorf                                 0773, 1276
Maxent                                  1755, 0762
Maxim                                   1556
MCE                                     0009
Meck                                    0698
Mediator                                0037, 0556
Medion                                  0037, 0512, 0556, 0668, 0698, 0714, 1037, 1248, 
                                        1556, 1585, 1667, 1741, 2001
Megatron                                0178
MEI                                     1037
Memorex                                 0250, 0178, 0009, 1037, 1665, 1670
Memory                                  1983
Memphis                                 0009
Mercury                                 0009, 0037
Mermaid                                 0037
Metronic                                0625
Metz                                    0037, 0195, 0587, 0668, 1163, 1533
MGA                                     0178
Micromaxx                               0037, 0668, 0714, 1037, 1324, 2001
Microtek                                0820, 0860
Mikomi                                  0744, 1037, 1308, 1585
Minato                                  0037
Minerva                                 0108, 0195, 1248
Ministry Of Sound                       1667
Minoka                                  0037
Mirai                                   1666, 1852
Mitsai                                  1556
Mitsubishi                              0250, 1250, 0093, 0178, 0037, 0108, 0512, 0556, 
                                        1037, 1171, 2313
Mivar                                   0609
Monaco                                  0009
Moree                                   0037
Morgan's                                0037
Motorola                                0093
MTC                                     0512
MTlogic                                 0714
Mudan                                   0009, 0208, 0226
Multitec                                0037, 0668, 1037, 1556
Multitech                               0009, 0037
Mx Onda                                 1983
Myrica                                  1666
Myryad                                  0556
NAD                                     0156, 0178, 0037
Naiko                                   0037, 0606
Nakimura                                0037
Nanbao                                  0009
NAT                                     0226
National                                0208, 0226, 0508, 1097
NEC                                     0156, 0053, 0178, 0009, 0508, 0653, 0661, 1704, 
                                        1797, 1852, 2461
Neckermann                              0037, 0556
NEI                                     0037, 0371, 1037
NEO                                     1324
Netsat                                  0037
NetTV                                   1755, 0762
Neufunk                                 0009, 0037, 0556, 0714
New Tech                                0009, 0037, 0343, 0556
Newave                                  0093, 0178, 0009
Nexus Electronics                       2183
Nikai                                   1163
Nikkai                                  0009, 0035, 0037
Nikkei                                  0714
Nikko                                   0178
Nimbro                                  2104
Noblex                                  0037
Nokia                                   0208, 0480, 0606
Norcent                                 1365, 1589
Nordmende                               0037, 0195, 0343, 0560, 0714, 1163, 1413, 1585, 
                                        1667, 2001, 2007
Normerel                                0037
Nortek                                  0668
Novatronic                              0037
Novex                                   1523
Novita                                  1585
Nu-Tec                                  0698, 0820
NuVision                                2158
O.K.Line                                1037, 1324
Oceanic                                 0208
Okano                                   0009, 0037
Olevia                                  1610, 1144, 1240, 1331, 2124
Omni                                    0698
Onei                                    1667
Onida                                   0053, 0653
Onimax                                  0714
Onix                                    0698
Onn                                     1667, 1770
Onwa                                    0371
Onyx                                    1770
Opera                                   0037, 0714, 1308, 1770
Optimus                                 0250, 0650
Optoma                                  1348
Optonica                                0093
Orbit                                   0037
Orion                                   0037, 0443, 0556, 0714, 1037, 2001, 2007, 2032
Orline                                  0037
Ormond                                  0668, 1037
Osaki                                   0037, 0556
Osio                                    0037
Osume                                   0037
Otic                                    1983
Otto Versand                            0093, 0037, 0195, 0226, 0343, 0512, 0556
Pacific                                 0443, 0556, 0714, 1037, 1324
Palladium                               0037, 0556, 0714
Palsonic                                0037, 0698, 0773, 2461
Panama                                  0009, 0037
Panasonic                               1480, 0250, 1457, 0037, 0108, 0208, 0226, 0508, 
                                        0650, 0896, 1097, 1168, 1291, 1636, 1650, 2170
Panavision                              0037
Panda                                   0706, 0009, 0208, 0226, 0508, 0698
PARK                                    2104
Pausa                                   0009
Penney                                  0156, 0178
Perdio                                  0037
Perfekt                                 0037
Petters                                 1523, 0037
Philco                                  0178, 0171, 0037, 1029, 1394, 1665
Philips                                 0810, 0000, 1454, 1866, 0178, 0009, 0037, 0108, 
                                        0343, 0512, 0556, 1394, 1506, 1744, 1756, 1867, 
                                        2372
Phocus                                  0714, 1308, 1652
Phoenix                                 0037
Phonola                                 0037, 0556
Pilot                                   0706
Pioneer                                 1457, 0037, 0512, 0679, 0698, 1260, 1636
Pionier                                 1556
Plantron                                0009, 0037
Playsonic                               0037, 0714, 1652
Plustron                                1770
Polaroid                                1523, 1276, 1645, 1720, 1741
Polyvision                              1144
Poppy                                   0009
Powerpoint                              0037, 0698, 1770
Premier                                 0009
President                               0860
Prima                                   0009, 1785
PrimeView                               1606
Princess                                0773
Prinston                                1037
Profex                                  0009
Profi                                   0009
Profilo                                 1556
Profitronic                             0037
Proline                                 0037, 0625, 0634, 1037
Proscan                                 1447, 2256
Prosco                                  0156
Prosonic                                0037, 0371, 0606, 0668, 0714, 1308, 1324, 1585, 
                                        1667, 1770, 1849, 1865, 2001
Protech                                 0009, 0037, 0668, 1037
Proton                                  0178, 0009
ProVision                               0037, 0556, 0714, 1324
Pvision                                 2001
Pye                                     0037, 0556
Pymi                                    0009
Qingdao                                 0208, 0226
Quasar                                  0250, 0009, 0650
Quelle                                  0037, 0195, 0512, 0668, 1037
R-Line                                  0037
Radiola                                 0037, 0556
Radiomarelli                            0037
RadioShack                              0178, 0037
Radiotone                               0009, 0037, 0668, 1037
RCA                                     0000, 1454, 1447, 0093, 0178, 0560, 0618, 0625, 
                                        0679, 1781, 2187, 2247, 2403, 2429, 2434
Realistic                               0178
Recco                                   0706
Recor                                   0037
Rectiligne                              0037
Redstar                                 0037
Reflex                                  0037, 0668, 1037
Relisys                                 1585, 1645, 1741
Remotec                                 0250, 0093, 0171, 0037
Reoc                                    0714
Revox                                   0037
RFT                                     0037
Rinex                                   0773
Roadstar                                0009, 0037, 0668, 0714, 1037
Rolson                                  2098
Rowa                                    0009, 0037, 0587, 0698
Royal Lux                               0335
S-Media                                 1217
Saba                                    0250, 0335, 0343, 0560, 0625, 0714
Sagem                                   0618
Saige                                   0009
Saisho                                  0009
Saivod                                  0037, 0668, 1037, 1163, 1556
Salora                                  0208, 0480, 1556
Salsa                                   0335
Sampo                                   1755, 0093, 0178, 0171, 0009, 0650, 0762
Samsung                                 0812, 0156, 0093, 0178, 2051, 1630, 1619, 1458, 
                                        1312, 1249, 0650, 0618, 0587, 0556, 0226, 0208, 
                                        0037, 0009
Sansui                                  0171, 0706, 0037, 0371, 0714, 0888, 1236, 1248, 
                                        1413, 1556, 1670, 2001
Santon                                  0009
Sanyo                                   0156, 0009, 0108, 0208, 0508, 1037, 1142, 1179, 
                                        1276, 1585, 1649, 1667, 2461
Sanyuan                                 0093, 0009
SBR                                     0037, 0556
Sceptre                                 1217, 1360, 1599
Schaub Lorenz                           0606, 0714, 1324, 1667, 2001
Schneider                               0037, 0343, 0371, 0556, 0668, 0714, 1037
Schoentech                              1037
Scotch                                  0178
Scott                                   0178, 1983
Sears                                   0156, 0178, 0171
Seaway                                  0634
Seelver                                 1037
SEG                                     0009, 0037, 0668, 1037, 1163
SEI                                     0037
Sei-Sinudyne                            0037
Seleco                                  0371
Semp                                    0156, 1743
Sencora                                 0009
Sentra                                  0035
Serie Dorada                            0156, 0178
Serino                                  0093
Shanghai                                0009, 0208, 0226
Sharp                                   0818, 0093, 0053, 0009, 0650, 0653, 1165, 1393, 
                                        1659, 2214
Shen Ying                               0009
Shencai                                 0009
Sheng Chia                              0093, 0009
Shenyang                                0009
Sherwood                                0009
Shinelco                                2104
Shintoshi                               0037
Shivaki                                 0178, 0037, 0443
Show                                    0009
Siam                                    0037
Siemens                                 0037, 0195
Siera                                   0037, 0556
Silva                                   0037
Silva Schneider                         0037, 1556
Silvano                                 0587
SilverCrest                             1037
Singer                                  0009, 0037, 0335, 0371, 1556
Sinotec                                 0773
Sinudyne                                0037
SKY                                     0037, 1606, 1745
Skyworth                                0009, 0037, 0698
Sliding                                 1324
SLX                                     0668
Soemtron                                1298
Sogo                                    0606
Solavox                                 0037
Songba                                  0009
Soniko                                  0037
Sonitron                                0208
Sonneclair                              0037
Sonoko                                  0009, 0037
Sonolor                                 0208
Sontec                                  0009, 0037
Sontech                                 1983
Sony                                    0810, 0000, 0650, 1167, 1505, 1651, 1825
Soundesign                              0178
Soundwave                               0037, 1037
Sowa                                    0156, 0178, 0226
Soyea                                   0773
Spectra                                 0009
Squareview                              0171
Ssangyong                               0009
Staksonic                               0009
Standard                                0009, 0037, 1037
Starlite                                0009, 0037
Strato                                  0009, 0037, 2032
Strong                                  1163
Sungoo                                  1248
Sunny                                   0037
